Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.399168e+07   3.521918e+04
  2.318130e-02   1.181442e+07   2.626277e+04
  2.437620e-02   9.788034e+06   2.186633e+04
  2.557110e-02   8.294446e+06   1.721403e+04
  2.676600e-02   6.948547e+06   1.415579e+04
  2.796090e-02   5.885319e+06   1.217725e+04
  2.915580e-02   5.007692e+06   1.111627e+04
  3.035070e-02   4.281337e+06   1.002342e+04
  3.154570e-02   3.697492e+06   9.094691e+03
  3.274060e-02   3.219700e+06   8.649983e+03
  3.393550e-02   2.831272e+06   7.546464e+03
  3.513040e-02   2.514124e+06   7.265527e+03
  3.632530e-02   2.208411e+06   6.451553e+03
  3.752020e-02   1.997642e+06   6.135969e+03
  3.871510e-02   1.790731e+06   5.764300e+03
  3.991000e-02   1.612763e+06   5.232412e+03
  4.110490e-02   1.458979e+06   5.012373e+03
  4.229990e-02   1.333486e+06   4.552606e+03
  4.349480e-02   1.205665e+06   4.273767e+03
  4.468970e-02   1.111445e+06   4.015394e+03
  4.588460e-02   1.007923e+06   3.681542e+03
  4.707950e-02   9.269268e+05   3.602059e+03
  4.827440e-02   8.525760e+05   3.321290e+03
  4.946930e-02   7.798338e+05   3.101890e+03
  5.066420e-02   7.174514e+05   3.006392e+03
  5.185910e-02   6.593553e+05   2.696845e+03
  5.305410e-02   6.099446e+05   2.681781e+03
  5.424900e-02   5.659180e+05   2.448210e+03
  5.544390e-02   5.195523e+05   2.366815e+03
  5.663880e-02   4.757781e+05   2.220355e+03
  5.783370e-02   4.476140e+05   2.117284e+03
  5.902860e-02   4.130979e+05   2.038282e+03
  6.022350e-02   3.786881e+05   1.852956e+03
  6.141840e-02   3.515274e+05   1.827282e+03
  6.261330e-02   3.318888e+05   1.741293e+03
  6.380830e-02   3.051625e+05   1.641750e+03
  6.500320e-02   2.839203e+05   1.583579e+03
  6.619810e-02   2.657718e+05   1.473489e+03
  6.739300e-02   2.482228e+05   1.459301e+03
  6.858790e-02   2.296643e+05   1.365092e+03
  6.978280e-02   2.181299e+05   1.304111e+03
  7.097770e-02   2.052043e+05   1.271109e+03
  7.217260e-02   1.896002e+05   1.187183e+03
  7.336750e-02   1.808870e+05   1.181814e+03
  7.456250e-02   1.701708e+05   1.110994e+03
